Alive,Susceptible,Infected,Recovered,Dead
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,66,5,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,65,6,28,6
99,64,7,28,6
99,63,8,28,6
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,7,28,7
98,63,6,29,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,63,5,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,6,30,7
98,62,5,31,7
98,62,5,31,7
98,62,5,31,7
98,62,5,31,7
98,62,5,31,7
98,62,5,31,7
98,62,5,31,7
98,62,5,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,6,31,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,61,5,32,7
98,60,6,32,7
98,60,6,32,7
98,60,6,32,7
98,60,6,32,7
98,60,6,32,7
98,60,6,32,7
98,60,6,32,7
98,60,6,32,7
98,60,6,32,7
98,60,6,32,7
98,60,6,32,7
98,60,6,32,7
98,60,6,32,7
98,59,7,32,7
98,59,7,32,7
98,58,8,32,7
98,58,8,32,7
98,57,9,32,7
98,57,9,32,7
97,57,8,32,8
97,57,8,32,8
97,57,8,32,8
97,57,8,32,8
97,57,8,32,8
97,57,8,32,8
97,57,8,32,8
97,56,9,32,8
97,56,9,32,8
97,56,9,32,8
97,56,9,32,8
97,56,9,32,8
97,56,9,32,8
97,56,9,32,8
97,56,8,33,8
97,56,8,33,8
97,55,8,34,8
97,55,8,34,8
97,55,7,35,8
97,55,7,35,8
97,55,7,35,8
97,55,7,35,8
97,55,7,35,8
97,55,7,35,8
97,55,7,35,8
97,55,7,35,8
97,55,7,35,8
97,55,6,36,8
97,55,6,36,8
97,55,6,36,8
97,55,6,36,8
97,55,6,36,8
97,55,6,36,8
97,55,6,36,8
97,55,6,36,8
97,55,6,36,8
97,55,5,37,8
97,55,5,37,8
97,55,5,37,8
97,55,5,37,8
97,55,5,37,8
97,55,5,37,8
97,55,5,37,8
97,55,5,37,8
97,55,5,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,6,37,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,54,5,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,6,38,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,53,5,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,52,6,39,8
97,51,7,39,8
97,51,7,39,8
97,51,6,40,8
97,51,6,40,8
97,51,6,40,8
97,51,6,40,8
97,51,6,40,8
97,51,6,40,8
97,51,6,40,8
97,51,6,40,8
97,51,6,40,8
97,51,6,40,8
97,50,7,40,8
97,50,7,40,8
97,50,7,40,8
97,50,7,40,8
97,50,7,40,8
97,50,7,40,8
97,50,7,40,8
97,50,7,40,8
97,50,6,41,8
97,50,6,41,8
97,50,6,41,8
97,50,6,41,8
97,50,6,41,8
97,50,6,41,8
97,50,6,41,8
97,50,6,41,8
97,50,6,41,8
97,50,6,41,8
97,50,6,41,8
97,50,6,41,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,50,5,42,8
97,49,6,42,8
97,49,6,42,8
97,49,6,42,8
97,49,6,42,8
97,49,6,42,8
97,49,6,42,8
97,49,6,42,8
97,49,6,42,8
97,49,6,42,8
97,49,6,42,8
97,49,6,42,8
97,49,6,42,8
97,48,7,42,8
97,48,7,42,8
97,48,7,42,8
97,48,7,42,8
97,48,7,42,8
97,48,7,42,8
97,48,7,42,8
96,48,6,42,9
